Dantzig;10;9;166.253
Dantzig;11;10;223.389
Dantzig;12;11;298.308
Dantzig;13;12;387.848
Dantzig;14;13;478.312
Dantzig;15;14;587.487
Dantzig;16;15;708.328
Dantzig;17;16;833.214
Dantzig;18;17;1063.86
Dantzig;19;18;1286.39
Dantzig;20;19;1459.55
Dantzig;21;20;1909.06
Dantzig;22;21;2688.85
Dantzig;23;22;3722.47
Dantzig;24;23;4193.65
Dantzig;25;24;5182.36
Dantzig;26;25;6108.52
Dantzig;27;26;7425.87
Dantzig;28;27;8431.31
Dantzig;29;28;9894.67
Dantzig;30;29;11165.4
Dantzig;31;30;12704
Dantzig;32;31;14583.3
Dantzig;33;32;16148.6
Dantzig;34;33;18396.1
Dantzig;35;34;20385.7
Dantzig;36;35;22047.8
Dantzig;37;36;24974.9
Dantzig;38;37;26527.2
Dantzig;39;38;29351.6
Dantzig;3;2;3.656
Dantzig;40;39;32447.6
Dantzig;41;40;34975.6
Dantzig;42;41;38446.7
Dantzig;43;42;41863.9
Dantzig;44;43;47177.3
Dantzig;45;44;48917
Dantzig;46;45;51758.1
Dantzig;47;46;55513.7
Dantzig;48;47;60431.7
Dantzig;49;48;63513.6
Dantzig;4;3;8.703
Dantzig;50;49;69468.7
Dantzig;51;50;74179.5
Dantzig;52;51;77947.8
Dantzig;53;52;84182.3
Dantzig;54;53;87855.2
Dantzig;55;54;93528.9
Dantzig;56;55;100594
Dantzig;57;56;105491
Dantzig;58;57;113080
Dantzig;59;58;119254
Dantzig;5;4;18.7864
Dantzig;60;59;123760
Dantzig;6;5;34.8422
Dantzig;7;6;55.7196
Dantzig;8;7;83.9867
Dantzig;9;8;120.411
