DijkstraPQ;10;45;0.0334437
DijkstraPQ;11;55;0.044972
DijkstraPQ;12;66;0.0506047
DijkstraPQ;13;78;0.067428
DijkstraPQ;14;91;0.105989
DijkstraPQ;15;105;0.145057
DijkstraPQ;16;120;0.132594
DijkstraPQ;17;136;0.145337
DijkstraPQ;18;153;0.147656
DijkstraPQ;19;171;0.161389
DijkstraPQ;20;190;0.199822
DijkstraPQ;21;210;0.25296
DijkstraPQ;22;231;0.282596
DijkstraPQ;23;253;0.287505
DijkstraPQ;24;276;0.294076
DijkstraPQ;25;300;0.335053
DijkstraPQ;26;325;0.452651
DijkstraPQ;27;351;0.399715
DijkstraPQ;28;378;0.425335
DijkstraPQ;29;406;0.622726
DijkstraPQ;30;435;0.594425
DijkstraPQ;3;3;0.00186518
DijkstraPQ;4;6;0.00562466
DijkstraPQ;5;10;0.0113204
DijkstraPQ;6;15;0.009701
DijkstraPQ;7;21;0.0318786
DijkstraPQ;8;28;0.0215596
DijkstraPQ;9;36;0.0252518
