AStar;10;9;0.00526
AStar;11;10;0.00588
AStar;12;11;0.0076
AStar;13;12;0.01006
AStar;14;13;0.01136
AStar;15;14;0.01348
AStar;16;15;0.01556
AStar;17;16;0.01676
AStar;18;17;0.01812
AStar;19;18;0.02024
AStar;20;19;0.02286
AStar;21;20;0.02564
AStar;22;21;0.02926
AStar;23;22;0.03314
AStar;24;23;0.03678
AStar;25;24;0.0394
AStar;26;25;0.04396
AStar;27;26;0.05162
AStar;28;27;0.05444
AStar;29;28;0.05924
AStar;30;29;0.06244
AStar;31;30;0.07696
AStar;32;31;0.08202
AStar;33;32;0.0876
AStar;34;33;0.09432
AStar;35;34;0.10066
AStar;36;35;0.11732
AStar;37;36;0.1166
AStar;38;37;0.12408
AStar;39;38;0.1348
AStar;3;2;0.00138
AStar;40;39;0.14078
AStar;41;40;0.15526
AStar;42;41;0.16196
AStar;43;42;0.17664
AStar;44;43;0.18482
AStar;45;44;0.20292
AStar;46;45;0.21042
AStar;47;46;0.21828
AStar;48;47;0.22816
AStar;49;48;0.24134
AStar;4;3;0.00144
AStar;50;49;0.27668
AStar;51;50;0.31998
AStar;52;51;0.31992
AStar;53;52;0.33308
AStar;54;53;0.40814
AStar;55;54;0.36
AStar;56;55;0.36146
AStar;57;56;0.402
AStar;58;57;0.40646
AStar;59;58;0.43398
AStar;5;4;0.00162
AStar;60;59;0.44924
AStar;61;60;0.48626
AStar;62;61;0.4781
AStar;63;62;0.6349
AStar;64;63;0.52466
AStar;65;64;0.53714
AStar;66;65;0.59292
AStar;67;66;0.58334
AStar;68;67;0.62042
AStar;69;68;0.68046
AStar;6;5;0.00232
AStar;70;69;0.67172
AStar;71;70;0.69074
AStar;72;71;0.78438
AStar;73;72;0.77374
AStar;74;73;0.80938
AStar;75;74;0.83616
AStar;76;75;0.8367
AStar;77;76;0.86056
AStar;78;77;0.90896
AStar;79;78;0.9231
AStar;7;6;0.00432
AStar;80;79;0.97226
AStar;8;7;0.00466
AStar;9;8;0.00498
